rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
221,0xc58df0b98437f613e20916c242403e0a6c009373,watch,0.4100,500,-0.4518,0.2100,0.1000,0.1500,1,0,"borderline score 0.41; no copyability concerns detected"
222,0x335d3dedf02b9884db93dc4c1a90cf578e598c00,watch,0.5900,330,0.0687,0.7800,0.3900,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
222,0x7b0f0ac9487b3e8bf5be5dde1a7e3ace84604633,watch,0.6000,325,0.1350,0.6400,0.3200,0.1500,1,0,"global score 0.6 above threshold 0.5, copyable"
223,0x82398835fe16616214d928ba87127e28fc1cd9a3,watch,0.6200,92,0.1852,0.6400,0.3200,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
224,0x5fe14b52584c83c18496914db0b30a28d4510981,watch,0.7700,165,1.3244,0.7900,0.4000,0.1500,1,0,"global score 0.77 above threshold 0.5, copyable"
225,0x3d9141e6836b8e847d84966deb5bb72bb26fa5fd,watch,0.7000,500,0.3633,0.7500,0.3800,0.1500,1,0,"global score 0.7 above threshold 0.5, copyable"
226,0xc4ecc62dcba4b855b6e6de09f4eb39385eb62493,watch,0.6200,2,0.3699,1.0000,1.0000,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
227,0xd106952ebf30a3125affd8a23b6c1f30c35fc79c,watch,0.6800,500,0.2900,0.6100,0.3000,0.1500,1,0,"global score 0.68 above threshold 0.5, copyable"
228,0x52d8da46bcc56e3d9f9b2099ad16904fb0b599ae,watch,0.6400,500,0.2437,0.6400,0.3200,0.1500,1,0,"global score 0.64 above threshold 0.5, copyable"
228,0xff80bb23621f03fc6300808730316c78abe09b4d,watch,0.3800,440,-0.2143,0.3500,0.1800,0.1500,1,0,"borderline score 0.38; spreads usually wide"
229,0x088ba59031e4bac4cc7b344581e3d908258221cc,watch,0.4600,499,-0.0156,0.2600,0.1300,0.1500,1,0,"borderline score 0.46; spreads usually wide"
230,0x5ad5c4608c4661361b91c92e1091d2c5b43c37b9,watch,0.7100,500,0.5514,0.4100,0.2100,0.1500,1,0,"global score 0.71 above threshold 0.5, copyable"
231,0x160bf4f27cdaaaed1408ccd1558ab30c210d4296,watch,0.4000,450,-0.4538,0.3400,0.1700,0.1500,1,0,"borderline score 0.4; no copyability concerns detected"
232,0x4c86cdfff0fcff0f6b56a9ddb9f805b4b28f6993,watch,0.5700,491,0.1754,0.4900,0.2400,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
233,0x30c16e063c3be66d93acf14c06e2741e348f9f91,watch,0.4500,340,-0.1063,0.3200,0.1600,0.1500,1,0,"borderline score 0.45; spreads usually wide"
234,0x251150a00a619ae679b3b946bcd843ff128db649,watch,0.3700,316,0.1687,0.0200,0.0100,0.1500,1,0,"borderline score 0.37; spreads usually wide; profit concentrated in one trade"
235,0x14c32680ffc318892e0d019181e4161aa34cdf68,watch,0.5200,342,-0.0452,0.6100,0.3100,0.1500,1,0,"global score 0.52 above threshold 0.5, copyable"
236,0x1d8172fd883e4c5f1d08207e7e5554be1329b71e,watch,0.5300,8,0.1100,0.8800,0.4400,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
236,0xa2a020a382c90b292331ef36e62a2680e3df7e90,watch,0.4500,445,-0.1201,0.2500,0.1300,0.1500,1,0,"borderline score 0.45; no copyability concerns detected"
237,0x26e7234a906e7e93d1272cde5d6118d94749cc6c,watch,0.6600,52,0.9503,0.4000,0.2000,0.1500,1,0,"global score 0.66 above threshold 0.5, copyable"
238,0x26ea96b5ce30084395a6ac8e2234f3a82f442f4b,watch,0.6000,143,0.0501,0.8300,0.4100,0.1500,1,0,"global score 0.6 above threshold 0.5, copyable"
239,0x586af89f116168b9c9ecddf19e738ce30dff6610,watch,0.6200,500,0.2811,0.2800,0.1400,0.1500,1,0,"global score 0.62 above threshold 0.5, copyable"
240,0x5b1da62d04a662da31839a482092288ca7b03721,watch,0.5500,36,0.0661,0.4700,0.2400,0.1500,1,0,"global score 0.55 above threshold 0.5, copyable"
241,0xbf00e864ca24efdc18a4aa55d6720b2fb1e31199,watch,0.5900,109,0.0330,0.8400,0.4200,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
242,0x8bfee7aeca33003fe9d7398d5143dc7866542d74,watch,0.5300,433,0.0261,0.6700,0.3400,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
243,0x73492e9ea5e7423cc0bb10a7169a0c81972dcc3a,watch,0.7100,472,0.3852,0.7800,0.3900,0.1500,1,0,"global score 0.71 above threshold 0.5, copyable"
244,0xfd672b99a7cc7835bf931f0cea09bf7f7680ef90,watch,0.7000,23,0.3323,0.7400,0.3700,0.1500,1,0,"global score 0.7 above threshold 0.5, copyable"
245,0x1681006e2a5c3ca35767f215947326591180b1c7,watch,0.8100,342,0.6718,0.9500,0.4800,0.1500,1,0,"global score 0.81 above threshold 0.5, copyable"
245,0x7a496671c81b436111eab24ceddf8eb680d9d9f5,watch,0.5100,499,0.0314,0.3800,0.1900,0.1500,1,0,"global score 0.51 above threshold 0.5, copyable"
245,0x7c6ad2c1e9a6a86c663cb95cc328330576f20b8c,watch,0.7500,447,1.4970,0.7400,0.3700,0.1500,1,0,"global score 0.75 above threshold 0.5, copyable"
246,0x301e286fd88abb7cda0a19a24e4dc4823c4db752,watch,0.7200,363,0.3083,0.8200,0.4100,0.1500,1,0,"global score 0.72 above threshold 0.5, copyable"
247,0x32b484581fc5606de9c1e43af4636b6be9bc8b21,watch,0.5500,463,-0.0091,0.4800,0.2400,0.1500,1,0,"global score 0.55 above threshold 0.5, copyable"
247,0x6f0f452db703827819d25ad635334ceac4844ca8,watch,0.6800,16,0.5427,0.7500,0.3800,0.1500,1,0,"global score 0.68 above threshold 0.5, copyable"
248,0x0389bcfa163fb0e07c9297a55484fe422db5847b,watch,0.7600,500,0.5670,0.8200,0.4100,0.1500,1,0,"global score 0.76 above threshold 0.5, copyable"
248,0x7f147364c1d4c099dfa47a8b91ec525030a629d1,watch,0.5700,500,0.0424,0.6600,0.3300,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
248,0xa20924e5daa77c491b0700f045eff43a61f7ffbe,watch,0.5900,500,0.1505,0.4900,0.2400,0.1500,1,0,"global score 0.59 above threshold 0.5, copyable"
249,0x35f84931607cef621fe75177fce90970265adaa1,watch,0.6500,500,0.2877,0.4800,0.2400,0.1500,1,0,"global score 0.65 above threshold 0.5, copyable"
249,0x3693ffa9aa7d158826464608f6c83ad09741d79e,watch,0.1700,10,0.1811,0.1000,0.0500,0.1500,1,0,"weak score 0.17; spreads usually wide; profit concentrated in one trade"
249,0xb6353a9608eccba83323bdb7ee4ec8b7af68bef0,watch,0.5200,486,0.0477,0.2900,0.1500,0.1500,1,0,"global score 0.52 above threshold 0.5, copyable"
249,0xca7c00e2bf8e4571357f31631f05dbf231e6e994,watch,0.4700,272,-0.0187,0.5800,0.2900,0.1500,1,0,"borderline score 0.47; spreads usually wide"
250,0x4c230962b6bc43e34848b9d2b35d501ae64ad48f,watch,0.5300,500,0.0961,0.5200,0.2600,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
250,0x6a34b2661f76e7cdb7c4d7835aad0babae89c216,watch,0.5200,206,0.0366,0.4400,0.2200,0.1500,1,0,"global score 0.52 above threshold 0.5, copyable"
250,0x7cbefea2f57bf129ea3446d53397b9520747c4b7,watch,0.5600,347,0.1288,0.3000,0.1500,0.1500,1,0,"global score 0.56 above threshold 0.5, copyable"
250,0x91aab8d0ae5c7dde7d9ea7ca49aeb985e09819b8,watch,0.4700,500,-0.0554,0.4200,0.2100,0.1500,1,0,"borderline score 0.47; spreads usually wide"
250,0x9d1260087333ec7cb1d5cba92fc86c39ac3d7954,watch,0.7100,500,0.3136,0.6800,0.3400,0.1500,1,0,"global score 0.71 above threshold 0.5, copyable"
250,0xb0f85baa97990910a3e8ac2b4a58a322f01ecef5,watch,0.5700,475,0.1357,0.4200,0.2900,0.1500,1,0,"global score 0.57 above threshold 0.5, copyable"
